['Round'],['offer->ask'],['max_profit'],['deviation'],['max_offer_amount'],['max_ask_amount'],['KRT.pool'],['UST.pool'],['KRT_profit'],['UST_profit']
115775,KRT->UST,0.0005496367874681957,0.12104909213180085,125901,104.79104861879692,10000125901,19999895.20895138,342096.9607773187,2552.8826166765366
116109,KRT->UST,0.05252064318829484,0.13025512037370152,1230701,1024.3008772192147,10001230701,19998975.69912278,342096.9607773187,2552.935137319725
118599,KRT->UST,0.6240773152219656,0.15535045234396833,4242801,3530.799762244901,10004242801,19996469.200237755,342096.9607773187,2553.5592146349472
119447,UST->KRT,327.3420593746194,-0.15620692823670362,1508.9000000000012,1808179.387147282,9998191820.612852,20001508.9,342424.3028366933,2553.5592146349472
119465,UST->KRT,77.14340354212725,-0.13757681372099423,732.4000000000007,877748.1077826975,9999122251.892218,20000732.4,342501.4462402354,2553.5592146349472
119466,UST->KRT,17.46628669788188,-0.12836381974053004,348.5000000000003,417680.6705095114,9998954571.221708,20000580.9,342518.9125269333,2553.5592146349472
119588,KRT->UST,0.997820141840489,0.1646994235520134,5365101,4464.553167209554,10005365101,19995535.44683279,342518.9125269333,2554.5570347767875
119906,UST->KRT,2.7082040943843966,-0.12329330106398796,137.20000000000013,164439.72141166727,9999835560.27859,20000137.2,342521.6207310277,2554.5570347767875
120011,KRT->UST,0.0813830723473701,0.13276564574461547,1532001,1275.054010206427,10001532001,19998724.945989795,342521.6207310277,2554.638417849135
120036,UST->KRT,67.5223114795468,-0.1364442625187611,685.2000000000006,821185.7096967725,9999178814.290302,20000685.2,342589.14304250723,2554.638417849135
121070,UST->KRT,1177.198657042399,-0.18866188109699564,2861.9000000000024,3428979.8409976745,9996571020.159002,20002861.9,343766.34169954964,2554.638417849135
121669,KRT->UST,0.09058918947444641,0.13346833578790665,1616301,1345.210495770898,10001616301,19998654.78950423,343766.34169954964,2554.7290070386093
121688,KRT->UST,2.043448909966145,0.18396725382881846,7678501,6389.025786488825,10007678501,19993610.97421351,343766.34169954964,2556.7724559485755
121689,KRT->UST,0.1633751968458553,0.1380897583429229,2170301,1806.250283457888,10009598802,19992304.723930053,343766.34169954964,2556.935831145421
121690,KRT->UST,1.7713037601787658,0.1795662783737783,7147501,5947.329376235035,10016496303,19986857.394553818,343766.34169954964,2558.7071349056
122476,KRT->UST,8.370029228515317e-05,0.12040939193256651,49101,40.86831528808095,10000049101,19999959.131684713,343766.34169954964,2558.707218605892
122482,UST->KRT,6.1848432440043,-0.12497685613776488,207.40000000000018,248575.15002871578,9999751424.849972,20000207.4,343772.52654279367,2558.707218605892
122595,UST->KRT,100.76811728820043,-0.14008872285780996,837.1000000000007,1003213.6800921565,9998996786.319908,20000837.1,343873.29466008185,2558.707218605892
122596,UST->KRT,28.72003949213055,-0.13072505719222102,446.9000000000004,535607.7037522539,9998711178.616156,20000784.0,343902.014699574,2558.707218605892
123540,KRT->UST,0.43618574579202113,0.14955367574894954,3547001,2951.8503824385643,10003547001,19997048.14961756,343902.014699574,2559.1434043516842
123541,KRT->UST,8.79176028424886,0.25269068788021015,15931501,13251.511157684337,10019228502,19984296.638459876,343902.014699574,2567.9351646359332
123939,KRT->UST,0.00016621524564243228,0.12057691415850805,69201,57.59813272345163,10000069201,19999942.401867278,343902.014699574,2567.935330851179
124600,KRT->UST,0.042644131412742856,0.12924071082391794,1108901,922.9325710619829,10001108901,19999077.06742894,343902.014699574,2567.9779749825916
125659,KRT->UST,1.3059696532959173,0.1711378353376419,6138101,5107.638195858271,10006138101,19994892.361804143,343902.014699574,2569.2839446358876
126364,UST->KRT,40.266622359481076,-0.13269881943809328,529.2000000000005,634237.6269806407,9999365762.37302,20000529.2,343942.28132193343,2569.2839446358876
126969,KRT->UST,2.55375182269213,0.19150973507821226,8584201,7142.3589184551265,10008584201,19992857.641081546,343942.28132193343,2571.8376964585796
127070,UST->KRT,2389.5787329055674,-0.21782537665636809,4078.1000000000035,4885453.857855225,9995114546.142145,20004078.1,346331.860054839,2571.8376964585796
127071,UST->KRT,106.59457697700081,-0.14066612215266194,860.8000000000008,1031613.7089111498,9994332932.433233,20004438.900000002,346438.454631816,2571.8376964585796
128483,KRT->UST,1.2060608357027138,0.16914285714284882,5898601,4908.394421760902,10005898601,19995091.60557824,346438.454631816,2573.0437572942824
